Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. A Santosh Kumar,"DM - Nephrology, MBBS, MD - General Medicine",100%,(18 patients),Kothapet,Hyderabad,₹800,18,Nephrologist/Renal Specialist
Dr. Rajendra Prasad Bhupathi,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",,,LB Nagar,Hyderabad,₹680,23,"General Surgeon, Gastroenterologist"
Dr. Ravisankar Erukulpati,MBBS,,,Jubilee Hills,Hyderabad,₹800,25,General Physician
Dr. Rakesh Shankar G K,"MBBS, DNB - Radiotherapy",,,Gachibowli,Hyderabad,₹750,t7,Radiation Oncologist
Dr. Sumeet Singh,"BDS, MDS - Prosthodontist And Crown Bridge",100%,(23 patients),Chanda Nagar,Hyderabad,₹400,13,"Dentist, Prosthodontist"
Dr. Niveditha Sai Chandra,"MBBS, DNB - Neurology, MD - General Medicine",,,East Marredpally,Hyderabad,₹900,13,Neurologist
Dr. Karthik Yelamarthy,"MBBS, MS - Orthopaedics, FNB - Spine Surgery",90%,(31 patients),Chapel Road,Hyderabad,₹550,15,"Orthopedic surgeon, Spine Surgeon (Ortho)"
Dr. Tarang K. Vora,"MBBS, DNB - Neurosurgery",,,Jubilee Hills,Hyderabad,₹1000,11,Neurosurgeon
Dr. Shweta Bhaskar,MBBS,100%,(12 patients),Manikonda,Hyderabad,₹500,13,General Physician
Dr. Mohammed Adil Asfan,"MBBS, MS - General Surgery",,,Mehdipatnam,Hyderabad,₹650,17,General Surgeon
Dr. C Kapil Tejaswy,"MBBS, MS - General Surgery",,,Kondapur,Hyderabad,₹600,n8,General Surgeon
Dr. Mouna,BDS,,,Kondapur,Hyderabad,₹200,t7,Dentist
Dr. Gayathri,"BDS, MDS - Conservative Dentistry & Endodontics",,,Narsingi,Hyderabad,₹300,13,"Dental Surgeon, Conservative Dentist, Endodontist"
Dr. Naseemuddin N Shaikh,"MBBS, DM - Endocrinology, MD - General Medicine",,,Mehdipatnam,Hyderabad,₹700,12,"Endocrinologist, Diabetologist"
Dr. Rentala Vamshi Krishna,BDS,,,Rajeev Nagar,Hyderabad,₹300,t7,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Veerendra Mudnoor,"MBBS, MS - Orthopaedics, Fellowship in Arthroscopy & Sports Injury",91%,(175 patients),Kondapur,Hyderabad,₹750,18,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. E Sreehari Babu,"BHMS, Master of Homoeopathy - Material Medica",,,Mehdipatnam,Hyderabad,₹300,17,AYUSHHomoeopath
Dr. Sowmya Bondalapati,"MBBS, MD - General Medicine",69%,(29 patients),Gachibowli,Hyderabad,₹800,n9,"General Physician, Internal Medicine, Consultant Physician"
Dr. Pilli  Manasa Veena,"MBBS, MD - Dermatology , Venereology & Leprosy",94%,(18 patients),Himayat Nagar,Hyderabad,₹600,11,"Dermatologist, Aesthetic Dermatologist, Trichologist, Hair Transplant Surgeon, Cosmetologist"
Dr. Sudarshan Reddy K,"MBBS, MS - General Surgery, DNB - Surgical Gastroenterology",,,Uppal,Hyderabad,₹600,16,Gastroenterologist
Dr. C Narmada,BAMS,100%,(20 patients),Shaikpet,Hyderabad,₹500,23,"AYUSHAyurveda, Alternative Medicine"
Dr. Suprabatham,"MBBS, Diploma in Medical Radio-Diagnosis",,,Nacharam,Hyderabad,₹500,11,Radiologist
Dr. Vikram Reddy,"MBBS, DNB - Paediatrics, DNB - Neurology",,,Hitech City,Hyderabad,₹500,t5,Neurologist
Dr. Nithin Annarapu,"MBBS, MD - General Medicine, DM - Cardiology",98%,(49 patients),Hitech City,Hyderabad,₹500,17,"Cardiologist, Interventional Cardiologist"
Dr. Ravi Chander Veligeti,"MBBS, MS - General Surgery, MCh - Surgical Oncology",,,Gachibowli,Hyderabad,₹700,21,"Surgical Oncologist, Laparoscopic Surgeon"
Dr. Sushanth M. V.,"MBBS, MS - Orthopaedics",87%,(111 patients),Secunderabad,Hyderabad,₹600,24,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Satya Jyothi Pabbaraju,BDS,,,Gandipet,Hyderabad,₹500,16,Dental Surgeon
Dr. Subhash Chandra Bose Inturi,"MBBS, MCh - Urology/Genito-Urinary Surgery",,,Dilsukhnagar,Hyderabad,₹600,t9,Urologist
Dr. Parvez Ansari,"MBBS, DNB - General Surgery",,,Kondapur,Hyderabad,₹800,19,General Surgeon
Dr. V Dinesh Reddy,"MBBS, MD - Respiratory Medicine",,,Secunderabad,Hyderabad,₹600,14,Pulmonologist
Dr. Srinivas Yadavalli,"MBBS, MD - General Medicine",,,Jubilee Hills,Hyderabad,₹800,24,"Internal Medicine, General Physician"
Dr. C. Amulya Reddy,"BDS, MDS - Conservative Dentistry & Endodontics",100%,(14 patients),Narsingi,Hyderabad,₹300,12,"Endodontist, Restorative Dentist, Dental Surgeon"
Dr. Sri Sujan Suryadevara,"MDS - Oral & Maxillofacial Surgery, BDS",99%,(69 patients),Sanath Nagar,Hyderabad,₹300,15,Oral And MaxilloFacial Surgeon
Dr. Anitha,"MBBS, M.D. (Psychiatry)",,,Kukatpally,Hyderabad,₹1100,14,Psychiatrist
Dr. Anand Allam Venkatesh,MS - Orthopaedics,,,Malkajgiri,Hyderabad,₹600,n6,Orthopedic surgeon
Dr. S Arjun,"MBBS, MS - Ophthalmology",,,Nallakunta,Hyderabad,₹400,16,Ophthalmologist/ Eye Surgeon
Dr. Abhinay K,BDS,,,Manikonda,Hyderabad,₹500,10,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Laxmi Prasanna I,"MBBS, Diploma in Child Health (DCH)",82%,(17 patients),Nacharam,Hyderabad,₹500,14,Pediatrician
Dr. Priya R.B Singh,"MBBS, MS - General Surgery",,,Himayat Nagar,Hyderabad,₹900,37,General Surgeon
Dr. Archana,"MBBS, DNB - Obstetrics & Gynecology",,,Santosh Nagar,Hyderabad,₹800,10,"Infertility Specialist, Gynecologist"
Dr. Savarapu Sravani,BDS,,,KPHB,Hyderabad,₹500,t8,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. D Suresh,"MBBS, M.D. (Psychiatry)",100%,(21 patients),Himayat Nagar,Hyderabad,₹1000,11,"Psychiatrist, Neuropsychiatrist, Addiction Psychiatrist"
Dr. M S Madhavi,"MBBS, DGO",67%,(15 patients),Miyapur,Hyderabad,₹600,19,"Gynecologist, Obstetrician"
Dr. Madhavi Adla,"MBBS, Member of the Royal College of Paediatrics and Child Health (MRCPCH, London, Glasgow or Edinburgh)",,,Gachibowli,Hyderabad,₹1000,28,Pediatrician
Dr. Sritheja,"MBBS, MS - Obstetrics & Gynaecology",100%,(16 patients),Chanda Nagar,Hyderabad,₹400,10,"Infertility Specialist, Gynecologist, Obstetrician"
Dr. A Bhavani Reddy,"MBBS, MD - Obstetrics & Gynaecology",,,Nagole,Hyderabad,₹500,32,"Gynecologist, Obstetrician"
Dr. Abdul Gaffar Mahkri,"BDS, Fellowship in Oral implantlogy",98%,(154 patients),Mehdipatnam,Hyderabad,₹300,11,"Implantologist, Dentist"
Dr. Revathy Ramaswamy,"MBBS, MD - Obstetrics & Gynaecology",95%,(174 patients),Secunderabad,Hyderabad,₹800,34,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Sahithi Yenugula,"MBBS, MS - Obstetrics & Gynaecology",,,Kothapet,Hyderabad,₹800,n3,"Gynecologist, Obstetrician"
Dr. Vaddepally Sunil Chandra,BDS,,,East Marredpally,Hyderabad,₹500,11,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Siva Anoop Yella,"MBBS, M.D. (Psychiatry)",100%,(18 patients),Ameerpet,Hyderabad,₹1100,t6,"Psychiatrist, Psychotherapist, Addiction Psychiatrist"
Dr. Vandana,MBBS,,,Nizampet,Hyderabad,₹550,17,General Physician
Mr. Anil G,MA - Psychology,,,Serilingampally,Hyderabad,₹1000,19,"TherapistPsychotherapist, Counselling Psychologist"
Dr. Sandhya Balasubramanyan,"MBBS, MS - General Surgery, MCh - Plastic Surgery",97%,(36 patients),Khajaguda,Hyderabad,₹750,18,"Plastic Surgeon, Cosmetologist, Plastic Reconstruction Surgeon"
Dr. Sayed Junaid Khadri   (Physiotherapist),BPTh/BPT,,,Banjara Hills,Hyderabad,₹250,12,TherapistPhysiotherapist
Dr. Karthik Meruva,"MBBS, MD - General Medicine",,,LB Nagar,Hyderabad,₹600,12,"General Physician, Internal Medicine"
Dr. Lakshmi Sowjanya Chekuri,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Gachibowli,Hyderabad,₹850,17,"Dermatologist, Aesthetic Dermatologist"
Dr. Rahul Gandhi Godisela,"MBBS, MD - General Medicine",94%,(48 patients),Attapur,Hyderabad,₹350,19,General Physician
Dr. P. Ramu,"MBBS, Diploma in Anesthesiology, DNB - Orthopedics/Orthopedic Surgery",91%,(126 patients),Miyapur,Hyderabad,₹500,27,"General Physician, Spine And Pain Specialist, Anesthesiologist, Orthopedic surgeon, Pain Management Specialist"
Dr. Madhuri Vagile   (Physiotherapist),BPTh/BPT,91%,(67 patients),Madhapur,Hyderabad,₹600,12,TherapistPhysiotherapist
Dr. Satya Pavan Pakala,BDS,99%,(209 patients),Medipally,Hyderabad,₹300,16,"Implantologist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. P.Vishnu Rao,"MBBS, MD - General Medicine",,,Jubilee Hills,Hyderabad,₹1500,12,"General Physician, Internal Medicine"
Dr. Anvesh Reddy K,"MBBS, MS - Orthopaedics",100%,(13 patients),Somajiguda,Hyderabad,₹550,n8,Orthopedic surgeon
Dr. B. Srinivas,"MBBS, MS - Orthopaedics, Fellowship in Arthroscopy & Sports Injury",91%,(35 patients),Vanasthalipuram,Hyderabad,₹350,16,"Orthopedic surgeon, Joint Replacement Surgeon, Spine Surgeon (Ortho)"
Dr. Bhavani M,"MBBS, MD - Pathology",,,Amberpet,Hyderabad,₹500,44,"Pathologist, General Physician"
Dr. Ayyappa,"MS - ENT, MBBS",,,Uppal,Hyderabad,₹400,13,ENT/ Otorhinolaryngologist
Dr. Satish Erra,BHMS,98%,(1617 patients),Dilsukhnagar,Hyderabad,₹500,14,AYUSHHomoeopath
Dr. Susarla Sree Rama Chandra Sekhar,"MBBS, MRCP (UK), Diplomate of American Board of Internal Medicine (Internal Medicine), Diplomate of the American Board of Internal Medicine (Nephrology)",,,Gachibowli,Hyderabad,₹800,20,Nephrologist/Renal Specialist
Dr. Naveen Kumar Dhagudu,"MBBS, M.D. (Psychiatry), DM - Addiction Psychiatry",,,Gachibowli,Hyderabad,₹500,16,Addiction Psychiatrist
Dr. S Raja Deepika,BDS,,,Jubilee Hills,Hyderabad,₹500,t7,"Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Aslam Khan,"MBBS, Diplomate of American Board of Internal Medicine (Internal Medicine), Diplomate in Clinical Cardiac Electrophysiology, Diplomate in Cardiovascular Disease",,,Jubilee Hills,Hyderabad,₹1000,13,"Cardiologist, Cardiac Electrophysiologist"
Dr. Prameela Sekhar K,"MBBS, DGO, DNB - Obstetrics & Gynecology",91%,(32 patients),Jubilee Hills,Hyderabad,₹800,37,"Gynecologist, Obstetrician"
Dr. Uma Maheshwar,"MBBS, DNB - Orthopedics/Orthopedic Surgery",,,Uppal,Hyderabad,₹400,n4,Orthopedic surgeon
Dr. K.M.K Reddy P,"MBBS, MD - General Medicine, DM - Cardiology",82%,(17 patients),Jubilee Hills,Hyderabad,₹1000,25,Cardiologist
Dr. Khaleelulla,"MBBS, MS - Orthopaedics",98%,(141 patients),Attapur,Hyderabad,₹700,16,Orthopedic surgeon
Dr. S.T. Ramanuja Chari,"MBBS, MS - Orthopaedics",94%,(35 patients),Chapel Road,Hyderabad,₹550,45,Orthopedic surgeon
Dr. Goutham Kandula,"BDS, MDS - Oral & Maxillofacial Surgery",96%,(51 patients),SR Nagar,Hyderabad,₹400,26,"Oral And MaxilloFacial Surgeon, Cosmetic/Aesthetic Dentist, Implantologist, Dental Surgeon"
Dr. Hima Bindu,"MBBS, MD - Dermatology , Venereology & Leprosy",100%,(51 patients),Himayat Nagar,Hyderabad,₹600,16,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist"
Dr. Arjun Thiruvaipati,"MDS - Conservative Dentistry & Endodontics, BDS",100%,(21 patients),Nallagandla,Hyderabad,₹300,11,"Endodontist, Dentist, Implantologist, Conservative Dentist"
Dr. Babu M,"MBBS, MD - Pediatrics",,,Yousufguda,Hyderabad,₹400,15,Pediatrician
Dr. Asritha Reddy,"MBBS, Fellowship in Aesthetic Medicine (FAM)",91%,(11 patients),Manikonda,Hyderabad,₹500,t6,TherapistCosmetologist
Dr. Mohammad Ali,MBBS,,,Asif Nagar,Hyderabad,₹250,n4,General Physician
Dr. Sripathi Venkata Laxmi,BDS,,,Chintal,Hyderabad,₹300,n7,"Dentist, Dental Surgeon"
Dr. Vijay V Yeldandi,"MBBS, DNB - General Medicine, Fellow Of The American College Of Physicians, Diplomate of the American Board of Internal Medicine (Infectious Diseases)",,,Gachibowli,Hyderabad,₹1200,33,Infectious Diseases Physician
Dr. Kruti Shah,BDS,,,Gachibowli,Hyderabad,₹500,14,"Dentist, Dental Surgeon"
Dr. Reshma Reddy.G,MBBS,,,Nagole,Hyderabad,₹500,16,General Physician
Dr. G Sudhakar,"MBBS, MD - General Medicine, DM - Nephrology",,,Ecil,Hyderabad,₹600,18,Nephrologist/Renal Specialist
Dr. Ankisetti Srikanth Aryasri,"BDS, MDS - Orthodontics",,,Somajiguda,Hyderabad,₹500,n9,"Dentist, Orthodontist, Dental Surgeon"
Dr. Saguna Puttoo,"MBBS, DNB - Dermatology & Venereology",93%,(279 patients),Jubilee Hills,Hyderabad,₹600,25,"Dermatologist, Aesthetic Dermatologist, Trichologist, Hair Transplant Surgeon, Cosmetologist"
Dr. Puneeth Joopalli,"MBBS, DNB - Peripheral Vascular Surgery",,,Kukatpally,Hyderabad,₹800,17,Vascular Surgeon
Dr. Ravichander Rao A,"MBBS, MS - General Surgery, MCh - Plastic Surgery",100%,(107 patients),Habsiguda,Hyderabad,₹800,18,"Hair Transplant Surgeon, Plastic Surgeon"
Dr. Deborah R,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Alwal,Hyderabad,₹500,t5,Dermatologist
Dr. Puli Vanaja Reddy,"MBBS, Master of Public Health (MPH), Doctor of Psychology",67%,(24 patients),Jubilee Hills,Hyderabad,₹2000,19,TherapistClinical Psychologist
Dr. Prabhat Lakkireddi,"FRCS - Trauma & Orthopedic Surgery, MS - Orthopaedics, MRCS (UK), MBBS",98%,(1662 patients),Jubilee Hills,Hyderabad,₹1000,27,"Orthopedic surgeon, Sports Medicine Surgeon, Joint Replacement Surgeon"
Dr. Ashwani. P,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Gachibowli,Hyderabad,₹500,16,"Dermatologist, Cosmetologist"
Dr. Margana Narendra,"MD - Pediatrics, MBBS",,,Srinagar Colony,Hyderabad,₹300,24,Pediatrician
Dr. Murali Krishna CH V,"MBBS, MD - General Medicine, DM - Neurology",,,Kanchanbagh,Hyderabad,₹400,22,Neurologist
Dr. B Venkateswara Reddy,"MBBS, Diploma in Child Health (DCH)",,,Balapur,Hyderabad,₹300,19,Pediatrician
Dr. Bharat Reddy,"BDS, Fellowship in Oral implantlogy",98%,(1430 patients),Borabanda,Hyderabad,₹250,25,"Dentist, Implantologist"
Dr. R T S Naik,"MBBS, MCh - Neuro Surgery, MS - General Surgery",,,Hyderguda,Hyderabad,₹1000,31,Neurosurgeon
Dr. Ramesh Babu,"MBBS, MD - Pediatrics",,,AS Rao Nagar,Hyderabad,₹550,26,Pediatrician
Dr. K Sravani Reddy,BDS,98%,(116 patients),Karkhana,Hyderabad,₹300,12,"Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Md. Naseeruddin,"MBBS, MS - ENT",99%,(476 patients),Tolichowki,Hyderabad,₹400,t9,ENT/ Otorhinolaryngologist
Dr. Gudivaka Satya Priya,"MBBS, MS - Obstetrics & Gynaecology",,,SR Nagar,Hyderabad,₹500,t7,Gynecologist
Dr. Khayati Singla,"MBBS, MD - Dermatology , Venereology & Leprosy",100%,(33 patients),Himayat Nagar,Hyderabad,₹600,13,"Dermatologist, Trichologist, Aesthetic Dermatologist, Hair Transplant Surgeon, Cosmetologist"
Dr. Kolkunda Vijay Kumar,"MD - General Medicine, MBBS",98%,(238 patients),Chanda Nagar,Hyderabad,₹500,17,"General Physician, Internal Medicine, Consultant Physician"
Dr. B. Chaithanya,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), DNB - Pulmonary Medicine",,,Jubilee Hills,Hyderabad,₹800,16,Pulmonologist
Dr. Bharavi Chunduri,"MBBS, DM - Cardiology",,,Chintal,Hyderabad,₹500,15,Cardiologist
Dr. P V Swathi Ramani,"DNB - Paediatrics, MBBS, Diploma in Child Health (DCH)",,,Nallagandla,Hyderabad,₹500,12,Pediatrician
Dr. Satyesh Nadella,"MBBS, MD - Radiotherapy",,,Jubilee Hills,Hyderabad,₹1500,12,Radiation Oncologist
Dr. Alivelu Manga,BAMS,93%,(15 patients),Himayat Nagar,Hyderabad,₹299,25,AYUSHAyurveda
Dr. Vipun Kumar Reddy,BHMS,,,Dilsukhnagar,Hyderabad,₹300,24,AYUSHHomoeopath
Dr. Mallindra Swamy,"MBBS, DNB - Cardiology",,,LB Nagar,Hyderabad,₹680,22,Cardiologist
Dr. Riyaz Shaik,"MBBS, DNB - General Surgery, MCh - Neuro Surgery",,,Dammaiguda,Hyderabad,₹500,16,Neurosurgeon
Dr. Karthik Tummala,"MBBS, MD - General Medicine, DM - Cardiology",100%,(14 patients),Ameerpet,Hyderabad,₹750,10,Interventional Cardiologist
Dr. Jyothirmayee Sravani Yeka,BDS,,,Gachibowli,Hyderabad,₹400,n2,Dental Surgeon
Dr. S. Mahalakshmi,MBBS,100%,(245 patients),Mehdipatnam,Hyderabad,₹500,40,General Physician
Dr. Md Aslam Mohsin,"MBBS, MS - Orthopaedics",,,Amberpet,Hyderabad,₹300,10,"General Physician, Orthopedic surgeon"
Dr. Suram Vasanth Kumar,"MD - General Medicine, MBBS",100%,(15 patients),Uppal,Hyderabad,₹500,17,"Internal Medicine, General Physician"
Dr. S Srikanth Reddy,"MBBS, MS - General Surgery, MCh - Neuro Surgery",98%,(58 patients),Hitech City,Hyderabad,₹500,17,"Neurosurgeon, Neurologist"
Dr. Arun Kumar,"MBBS, Diploma in Anesthesiology",,,Kanchanbagh,Hyderabad,₹500,17,Anesthesiologist
Dr. Naveen Kumar Boggarapu,BHMS,,,Hastinapuram,Hyderabad,₹500,21,AYUSHHomoeopath
Dr. V Vinoth Kumar,"MBBS, DM - Cardiology, MD - General Medicine",100%,(134 patients),Nallagandla,Hyderabad,₹800,20,"Interventional Cardiologist, Cardiologist"
Dr. Anil Krishna Gundala,"DM - Cardiology, DNB - General Medicine, MBBS",94%,(17 patients),Hitech City,Hyderabad,₹500,21,"Interventional Cardiologist, Cardiologist"
Dr. Suryanarayana Sharma,"BDS, MDS - Oral Pathology and Oral Microbiology",100%,(320 patients),Gachibowli,Hyderabad,₹500,11,"Oral Pathologist, Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Amirneni Kavitha,MBBS,,,AS Rao Nagar,Hyderabad,₹450,26,General Physician
Dr. V Rekha,"MBBS, DDVL",,,Miyapur,Hyderabad,₹600,10,Dermatologist
Dr. Susan Darla,"MBBS, MD - General Medicine",,,Uppal,Hyderabad,₹450,n4,General Physician
Dr. Shailesh Mohan Badole,"MBBS, DNB - Neurology",,,Manikonda,Hyderabad,₹1000,18,Neurologist
Dr. Satyaprathyusha,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",,,Kokapet,Hyderabad,₹400,t7,Orthodontist
Dr. Prashanth Koyyoda,"MBBS, MCh - Surgical Gastroenterology/G.I. Surgery",,,Jubilee Hills,Hyderabad,₹1000,13,Gastroenterologist
Dr. Pratap Chandra Rath,"MBBS, MD - General Medicine, DM - Cardiology",,,Jubilee Hills,Hyderabad,₹1500,43,Cardiologist
Dr. Shameem Unnisa Shaikh,"MBBS, MS - General Surgery",,,Banjara Hills,Hyderabad,₹700,n6,General Surgeon
Dr. Veena Sura,BDS,95%,(20 patients),Manikonda,Hyderabad,₹300,17,"Dentist, Cosmetic/Aesthetic Dentist, Dental Surgeon"
Dr. Preethi Reddy  G,"MBBS, DGO",,,Hitech City,Hyderabad,₹950,24,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. G. Swarna Sree,"MBBS, MS - Obstetrics & Gynaecology",98%,(48 patients),Ameerpet,Hyderabad,₹500,15,"Gynecologist, Obstetrician"
Dr. Praveena,BDS,97%,(197 patients),Kondapur,Hyderabad,₹300,23,"Cosmetic/Aesthetic Dentist, Dental Surgeon, Dentist"
Dr. Amitha Indersen,"MBBS, MD - Obstetrics & Gynaecology",85%,(13 patients),Jubilee Hills,Hyderabad,₹600,19,"Obstetrician, Gynecologist"
Dr. S.Krishna Reddy,"MBBS, MS - Orthopaedics",91%,(11 patients),Jubilee Hills,Hyderabad,₹1000,44,Orthopedic surgeon
Dr. Kalangi Raja Harsha,"BDS, MDS - Oral & Maxillofacial Surgery",,,Trimulgherry,Hyderabad,₹500,10,"Oral And MaxilloFacial Surgeon, Dentist"
Dr. Rajkumar,"BDS, MDS - Paedodontics And Preventive Dentistry",96%,(27 patients),AS Rao Nagar,Hyderabad,₹400,18,"Dentist, Cosmetic/Aesthetic Dentist, Pediatric Dentist, Implantologist"
Dr. Bhanu Prasad. K,"MBBS, MD - General Medicine, DM - Nephrology",,,Hyderguda,Hyderabad,₹800,13,Nephrologist/Renal Specialist
Dr. J.AL.Ranganath,"MBBS, DM - Nephrology",95%,(220 patients),Hitech City,Hyderabad,₹500,23,Nephrologist/Renal Specialist
Dr. Lavanya Gadi,"MBBS, MS - Obstetrics & Gynaecology",,,Hitech City,Hyderabad,₹1000,20,Gynecologist
Dr. Triveni T,MBBS,,,KPHB,Hyderabad,₹100,n3,General Physician
Dr. Manjula,BDS,,,Kukatpally,Hyderabad,₹200,11,Dentist
Dr. Swapnal  Rameshwar  Sawarkar,"MBBS, MS - ENT",,,Ameerpet,Hyderabad,₹400,t7,ENT/ Otorhinolaryngologist
Dr. Anurag,"BDS, MDS - Oral Medicine and Radiology",100%,(23 patients),Bachupally,Hyderabad,₹300,10,"Implantologist, Dental Surgeon"
Dr. V Harish Kumar,"MBBS, DNB - Respiratory Diseases, Diploma in Tuberculosis and Chest Diseases (DTCD)",,,Narsingi,Hyderabad,₹500,t6,"Somnologist (Sleep Specialist), Tuberculous and chest Diseases Specialist, Pulmonologist"
Dr. Mandira Singh,"MBBS, MS - Obstetrics & Gynaecology, DGO, DNB - Obstetrics & Gynecology",96%,(92 patients),Himayat Nagar,Hyderabad,₹600,36,"Gynecologist, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Dasari Alekhya,BDS,,,Kondapur,Hyderabad,₹500,t7,Dentist
Dr. Randhir Kumar,"MBBS, MCh - Neuro Surgery",,,Gachibowli,Hyderabad,₹1000,27,Neurosurgeon
Dr. P. Hima Bindu,"MBBS, Diploma in Dermatology",88%,(43 patients),Malkajgiri,Hyderabad,₹500,25,Dermatologist
Dr. C Bhaskar,"MBBS, DNB - General Surgery, MRCS (UK)",,,Kompally,Hyderabad,₹600,12,General Surgeon
Dr. Hajira Khanam,"MD - Physician, Diploma in Otorhinolaryngology (DLO)",100%,(38 patients),Chandrayangutta,Hyderabad,₹750,t9,ENT/ Otorhinolaryngologist
Dr. Nazia Khanam,"MBBS, MS - Obstetrics & Gynaecology",65%,(26 patients),Attapur,Hyderabad,₹350,15,"Obstetrician, Gynecologist"
Ms. Rajeshwari Luther,MA - Psychology,97%,(110 patients),Banjara Hills,Hyderabad,₹1800,t3,"TherapistCounselling Psychologist, Psychotherapist"
Dr. Harikiran Chekuri,"MBBS, MS - General Surgery, MCh - Plastic Surgery",97%,(1472 patients),Gachibowli,Hyderabad,₹699,17,"Plastic Surgeon, Hair Transplant Surgeon"
Dr. Ajay Chanakya Vallabhaneni,"MBBS, MCh - Surgical Oncology",,,Jubilee Hills,Hyderabad,₹1000,11,Surgical Oncologist
Dr. Praveen Kumar Reddy P,"MBBS, Diploma in Orthopaedics",,,RTC X Road,Hyderabad,₹600,16,Orthopedic surgeon
Dr. Rizvan Ahmed,"MBBS, MD - Dermatology, MRCP (UK)",,,Gachibowli,Hyderabad,₹800,23,Internal Medicine
Dr. Pradeep Raj K,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",96%,(162 patients),Kukatpally,Hyderabad,₹400,13,"Orthodontist, Dentist, Dental Surgeon"
Dr. Kiranmai,BDS,,,Nallagandla,Hyderabad,₹400,t5,Dentist
Dr. Vasanth Rao Periketi,"MBBS, MS - General Surgery, MCh - Urology/Genito-Urinary Surgery",96%,(27 patients),Kanchanbagh,Hyderabad,₹1000,16,Urologist
Dr. Murali Mohan Yadavalli,"MBBS, MD - General Medicine",,,KPHB,Hyderabad,₹750,26,General Physician
Dr. Sumana T,"MBBS, Diploma in Anesthesiology, DGO",91%,(66 patients),Nizampet,Hyderabad,₹500,21,"Gynecologist, Anesthesiologist, Obstetrician"
Dr. Prashant Hegde,"MBBS, MS - General Surgery",96%,(340 patients),Madhapur,Hyderabad,₹750,22,"General Surgeon, Laparoscopic Surgeon"
Dr. Sukhvinder Bindra,"BDS, MDS - Oral & Maxillofacial Surgery",,,Secunderabad,Hyderabad,₹1000,24,"Oral And MaxilloFacial Surgeon, Dentist, Dental Surgeon"
Dr. Sama Sreekanth,"MBBS, DNB - Tuberculosis & Respiratory Diseases/Pulmonary Medicine",,,Kondapur,Hyderabad,₹500,15,Pulmonologist
Dr. Srigiri S,"BDS, MDS - Paedodontics And Preventive Dentistry",,,Gachibowli,Hyderabad,₹300,y6,"Pediatric Dentist, Preventive Dentistry"
Dr. Saket Khetan,"MBBS, MD - General Medicine, DNB - Cardiology",,,RTC X Road,Hyderabad,₹700,10,Cardiologist
Dr. K.A.Jeevan Kumar,"BDS, MDS - Oral & Maxillofacial Surgery",98%,(248 patients),Trimulgherry,Hyderabad,₹500,41,"Dentist, Oral And MaxilloFacial Surgeon, Implantologist"
Dr. Mani Deepika Palabatla,BDS,100%,(21 patients),Madhapur,Hyderabad,₹500,t8,Cosmetic/Aesthetic Dentist
Dr. Shikha Fogla,"MBBS, MS - Ophthalmology",,,Jubilee Hills,Hyderabad,₹800,31,Ophthalmologist/ Eye Surgeon
Dr. Jyothsna Mathena,"MBBS, MS - Obstetrics & Gynaecology",,,Kondapur,Hyderabad,₹500,14,"Obstetrician, Gynecologist"
Dr. Swathi Thaduri,"MBBS, DNB - Obstetrics & Gynecology",100%,(19 patients),Nallagandla,Hyderabad,₹500,12,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Varsha K L,"MBBS, MD - Dermatology , Venereology & Leprosy",,,Secunderabad,Hyderabad,₹600,t6,"Dermatologist, Aesthetic Dermatologist, Trichologist"
Dr. Manish C Varma,"MBBS, MS - General Surgery, DNB - General Surgery, Fellowship in Abdominal Transplant Surgery, MCh - Surgical Oncology",,,Jubilee Hills,Hyderabad,₹1000,19,Surgical Oncologist
Dr. Sneha Lakshmi Nagineni,"BDS, MDS - Prosthodontist And Crown Bridge",99%,(1201 patients),Gachibowli,Hyderabad,₹500,13,"Dentist, Prosthodontist, Implantologist, Dental Surgeon"
Dr. Lokesh Venkat Bheemisetty,"MBBS, MS - Orthopaedics",,,Khajaguda,Hyderabad,₹600,n9,Joint Replacement Surgeon
